client_id,client_name,gender,birth_date,client_type,cellphone,email,JOB_TITLE,JOB_INDUSTRY_CATEGORY,WEALTH_SEGMENT,DECEASED_INDICATOR,OWNS_CAR,TENURE,ADDRESS,POSTCODE,STATE,COUNTRY,
1,Linda Sydney,Female,,company,00351934487623,lindasidneyaa@hotmail.com,General Manager,Manufacturing,Mass Customer,FALSE,TRUE,14,45 Shopko Center,4500,QLD,Australia,
2,Anthony Berg,Male,5/8/1999,individual,0061289346641,anthonyberg2hotmail.com,Structural Engineer,Property,Mass Customer,FALSE,FALSE,16,14 Mccormick Park,2113,NSW,Australia,
3,Eilen Liamdorf,Female,3/26/2002,individual,0049358860937,eilenli-com,Senior Cost Accountant,Financial Services,Affluent Customer,FALSE,FALSE,10,5 Colorado Crossing,3505,VIC,Australia,
4,Octavio Bruno,Male,4/18/2018,company,0035142837523,nune99@outlook.com,Account Representative III,Manufacturing,Affluent Customer,FALSE,TRUE,5,207 Annamark Plaza,4814,QLD,Australia,
5,Gonçalo Nunes,Male,8/15/2019,company,0064497889529,gonca@outlook.com,Financial Analyst,Financial Services,Affluent Customer,FALSE,FALSE,19,115 Montana Place,2093,NSW,Australia,
6,Thiago Freire,Male,9/16/1999,company,0065567403825,freirethi65@@outlook.com,Assistant Media Planner,Entertainment,High Net Worth,FALSE,TRUE,22,89105 Pearson Terrace,4075,QLD,Australia,
7,Bruna Taborda,Female,11/12/1985,company,0066636918121,bruna-taborda@outlook.com,Compensation Analyst,Financial Services,Mass Customer,FALSE,FALSE,8,7 Nevada Crossing,2620,NSW,Australia,
8,Chris Lennon,Male,10/2/2000,company,0034706432417,,Human Resources Assistant II,Retail,Mass Customer,FALSE,TRUE,10,85 Carioca Point,4814,QLD,Australia,
9,James Petterson,Male,,individual,0061775946713,,Speech Pathologist,Manufacturing,Mass Customer,FALSE,TRUE,5,717 West Drive,2200,NSW,Australia,
10,Chickie Brister,Male,7/12/1957,company,0061845461009,chickie_brister@gmail.com,Accounting Assistant IV,IT,Mass Customer,FALSE,TRUE,17,80 Scofield Junction,4151,QLD,Australia,
11,Morly Genery,Male,3/22/1970,individual,0049914975305,morly_genery@gmail.com,Programmer Analyst I,Retail,High Net Worth,FALSE,FALSE,3,3682 Crowley Point,4573,QLD,Australia,
12,Ardelis Forrester,Female,8/28/1974,individual,0035198448960,ardelis_forrester@gmail.com,Environmental Specialist,Manufacturing,Mass Customer,FALSE,FALSE,10,3 Golden Leaf Point,3216,VIC,Australia,
13,Lucine Stutt,Female,1/28/1979,company,0064114003897,lucine_stutt@gmail.com,Human Resources Manager,Telecommunications,Mass Customer,FALSE,FALSE,9,0484 North Avenue,2032,NSW,Australia,
14,Melinda Hadlee,Female,9/21/1965,company,0065843518193,melinda_hadlee@gmail.com,VP Marketing,Health,Mass Customer,FALSE,FALSE,4,0591 Anzinger Circle,2232,NSW,Australia,
15,Druci Brandli,Female,4/29/1951,company,0066913032489,druci_brandli@gmail.com,Clinical Specialist,Health,Mass Customer,FALSE,FALSE,10,39 Kedzie Pass,4053,QLD,Australia,
16,Rutledge Hallt,Male,10/6/1976,company,0034982546785,rutledge_hallt@gmail.com,,Manufacturing,Affluent Customer,FALSE,TRUE,5,64 Granby Parkway,2500,NSW,Australia,
17,Nancie Vian,Female,12/27/1972,company,0061112061081,nancie_vian@gmail.com,Associate Professor,Manufacturing,Mass Customer,FALSE,TRUE,4,610 Swallow Street,4051,QLD,Australia,
18,Duff Karlowicz,Male,4/28/1972,individual,0061841575377,duff_karlowicz@gmail.com,Actuary,Financial Services,Mass Customer,FALSE,FALSE,14,61 4th Street,3040,VIC,Australia,
19,Barthel Docket,Male,8/2/1985,company,0049911089673,barthel_docket@gmail.com,General Manager,Manufacturing,Affluent Customer,FALSE,TRUE,11,1550 Russell Way,2222,NSW,Australia,
20,Rockwell Matson,Male,1/1/1995,individual,0035198603969,rockwell_matson@gmail.com,Internal Auditor,Manufacturing,High Net Worth,FALSE,FALSE,12,193 North Point,2190,NSW,Australia,
21,Wheeler Winward,Male,8/30/1999,individual,006411118265,wheeler_winward@gmail.com,Programmer I,Manufacturing,Mass Customer,FALSE,TRUE,13,321 Raven Plaza,2161,NSW,Australia,
22,,Male,5/13/1990,company,006584367439,,Financial Analyst,Financial Services,Mass Customer,FALSE,TRUE,8,656 Fuller Street,2783,NSW,Australia,
23,Melba Spellacy,Female,12/9/1976,company,006691853143,melba_spellacy@gmail.com,Quality Engineer,n/a,Mass Customer,FALSE,FALSE,3,1562 Merchant Street,4744,QLD,Australia,
24,Mandie Feares,Female,4/19/1964,company,0034981338847,mandie_feares@gmail.com,Quality Control Specialist,n/a,Affluent Customer,FALSE,TRUE,13,663 8th Parkway,2257,NSW,Australia,
